problem,prompt_name,code_index,code_segment,Size,Min,Average,Max,Exception
p2_find_duplicate_number,prompt_1,1,['def funcImp(arg1):\n    seen = set()\n    for num in arg1:\n        if num in seen:\n            return num\n        seen.add(num)\n    return -1'],1000,0.002418,0.002504468,0.002704,N/A
p2_find_duplicate_number,prompt_1,1,['def funcImp(arg1):\n    seen = set()\n    for num in arg1:\n        if num in seen:\n            return num\n        seen.add(num)\n    return -1'],10000,0.0288884,0.029874534,0.0324473,N/A
p2_find_duplicate_number,prompt_1,1,['def funcImp(arg1):\n    seen = set()\n    for num in arg1:\n        if num in seen:\n            return num\n        seen.add(num)\n    return -1'],100000,0.2537429,0.261636522,0.2733,N/A
p2_find_duplicate_number,prompt_1,2,['def funcImp(arg1):\n    freq_dict = {}\n    for num in arg1:\n        if num in freq_dict:\n            freq_dict[num] += 1\n        else:\n            freq_dict[num] = 1\n    for num in freq_dict:\n        if freq_dict[num] > 1:\n            return num'],1000,0.003453,0.003562395,0.0038209,N/A
p2_find_duplicate_number,prompt_1,2,['def funcImp(arg1):\n    freq_dict = {}\n    for num in arg1:\n        if num in freq_dict:\n            freq_dict[num] += 1\n        else:\n            freq_dict[num] = 1\n    for num in freq_dict:\n        if freq_dict[num] > 1:\n            return num'],10000,0.0315267,0.032428855,0.0334986,N/A
p2_find_duplicate_number,prompt_1,2,['def funcImp(arg1):\n    freq_dict = {}\n    for num in arg1:\n        if num in freq_dict:\n            freq_dict[num] += 1\n        else:\n            freq_dict[num] = 1\n    for num in freq_dict:\n        if freq_dict[num] > 1:\n            return num'],100000,0.5519395,0.570893719,0.5994485,N/A
p2_find_duplicate_number,prompt_1,3,['from typing import List\n\ndef funcImp(numbers: List[int]) -> int:\n    slow = numbers[0]\n    fast = numbers[0]\n    while True:\n        slow = numbers[slow]\n        fast = numbers[numbers[fast]]\n        if slow == fast:\n            break\n    ptr1 = numbers[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = numbers[ptr1]\n        ptr2 = numbers[ptr2]\n    return ptr1'],1000,0.0009341,0.001019012,0.0012152,N/A
p2_find_duplicate_number,prompt_1,3,['from typing import List\n\ndef funcImp(numbers: List[int]) -> int:\n    slow = numbers[0]\n    fast = numbers[0]\n    while True:\n        slow = numbers[slow]\n        fast = numbers[numbers[fast]]\n        if slow == fast:\n            break\n    ptr1 = numbers[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = numbers[ptr1]\n        ptr2 = numbers[ptr2]\n    return ptr1'],10000,0.0130317,0.013525843,0.0148261,N/A
p2_find_duplicate_number,prompt_1,3,['from typing import List\n\ndef funcImp(numbers: List[int]) -> int:\n    slow = numbers[0]\n    fast = numbers[0]\n    while True:\n        slow = numbers[slow]\n        fast = numbers[numbers[fast]]\n        if slow == fast:\n            break\n    ptr1 = numbers[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = numbers[ptr1]\n        ptr2 = numbers[ptr2]\n    return ptr1'],100000,0.4277836,0.435766564,0.4510522,N/A
p2_find_duplicate_number,prompt_1,4,"['def funcImp(arg1):\n    """"""\n    Given an array nums containing n+1 integers where each integer is between 1 and n (inclusive), \n    prove that at least one duplicate number must exist. Assume that there is only one duplicate \n    number, find the duplicate one.\n\n    Args:\n    - arg1: a list of integers representing the input array\n\n    Returns:\n    - an integer representing the duplicate number found in the array\n    """"""\n    slow = arg1[0]\n    fast = arg1[0]\n    while True:\n        slow = arg1[slow]\n        fast = arg1[arg1[fast]]\n        if slow == fast:\n            break\n    ptr1 = arg1[0]\n    ptr2 = slow\n    while ptr1 != ptr2:\n        ptr1 = arg1[ptr1]\n        ptr2 = arg1[ptr2]\n    return ptr1']",1000,0.0009437,0.001027577,0.0012,N/A
