Size,prompt_name,Function,Min,Average,Max,Minimum Average,Percentage
1000,prompt_1,1,0.0002116,0.000589271,0.0055696,0.000284347,107.2366216
10000,prompt_1,1,0.0019664,0.005757771,0.0644864,0.002631819,118.7753974
100000,prompt_1,1,0.0639722,0.106583634,0.9374449,0.07183213,48.37877404
1000,prompt_2,1,0.0002103,0.001360285,0.0064942,0.000284347,378.3889774
10000,prompt_2,1,0.0019652,0.013273542,0.0615587,0.002631819,404.3486716
100000,prompt_2,1,0.0404637,0.167128258,0.5861776,0.07183213,132.6650457
1000,prompt_3,1,7.78E-05,0.003050303,0.220621,0.000284347,972.7393345
10000,prompt_3,1,0.000113,0.009593141,0.05039,0.002631819,264.5061585
100000,prompt_3,1,0.0001414,0.14612761,0.8659651,0.07183213,103.4293163
1000,prompt_4,1,0.0002115,0.001123297,0.0062214,0.000284347,295.0444413
10000,prompt_4,1,0.0019671,0.011000551,0.0541509,0.002631819,317.9828723
100000,prompt_4,1,0.0638897,0.14719994,0.458734,0.07183213,104.9221441
1000,prompt_5,1,0.0001163,0.003049296,0.2109584,0.000284347,972.3853447
10000,prompt_5,1,0.0001542,0.015279486,0.1051476,0.002631819,480.5676272
100000,prompt_5,1,0.0001859,0.263128994,1.4613828,0.07183213,266.3110018
1000,prompt_6,1,0.0002107,0.000284347,0.0043716,0.000284347,0
10000,prompt_6,1,0.0019663,0.002631819,0.0491799,0.002631819,0
100000,prompt_6,1,0.0639189,0.07183213,0.4430782,0.07183213,0
1000,prompt_7,1,5.20E-05,0.000931269,0.0072059,0.000284347,227.5115394
10000,prompt_7,1,4.76E-05,0.010340112,0.0990509,0.002631819,292.8884728
100000,prompt_7,1,4.82E-05,0.165110889,1.3417987,0.07183213,129.8565965
1000,prompt_1,2,0.0002105,0.001928956,0.0066517,0.001044525,84.67304057
10000,prompt_1,2,0.00197,0.022230338,0.046097,0.013272674,67.48952215
100000,prompt_1,2,0.0628783,0.324564925,0.6531489,0.324564925,0
1000,prompt_2,2,0.0008785,0.001361542,0.0139135,0.001044525,30.35037244
10000,prompt_2,2,0.0122617,0.017414088,0.1792735,0.013272674,31.20255982
