problem,prompt_name,code_index,code_segment,Size,Min,Average,Max,Exception
p11_find_middle_element_linkedlist,prompt_1,1,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> int:\n    slowPtr = head\n    fastPtr = head\n    while fastPtr and fastPtr.next:\n        slowPtr = slowPtr.next\n        fastPtr = fastPtr.next.next\n    return slowPtr.val']",1000,0.0010671999771147966,0.0011591689992928877,0.001568299951031804,N/A
p11_find_middle_element_linkedlist,prompt_1,1,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> int:\n    slowPtr = head\n    fastPtr = head\n    while fastPtr and fastPtr.next:\n        slowPtr = slowPtr.next\n        fastPtr = fastPtr.next.next\n    return slowPtr.val']",10000,0.011329400003887713,0.011871954000089318,0.01293590001296252,N/A
p11_find_middle_element_linkedlist,prompt_1,1,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> int:\n    slowPtr = head\n    fastPtr = head\n    while fastPtr and fastPtr.next:\n        slowPtr = slowPtr.next\n        fastPtr = fastPtr.next.next\n    return slowPtr.val']",100000,0.11712050001369789,0.1298985260009067,0.14495230000466108,N/A
p11_find_middle_element_linkedlist,prompt_1,2,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",1000,0.0010735000250861049,0.0011637740035075695,0.0014862000243738294,N/A
p11_find_middle_element_linkedlist,prompt_1,2,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",10000,0.011306100001093,0.01188600100169424,0.013269799994304776,N/A
p11_find_middle_element_linkedlist,prompt_1,2,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",100000,0.11996899999212474,0.12999759100144728,0.1425802000449039,N/A
p11_find_middle_element_linkedlist,prompt_1,3,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> Node:\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow']",1000,0.001097200030926615,0.001188254997250624,0.001393500017002225,N/A
p11_find_middle_element_linkedlist,prompt_1,3,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> Node:\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow']",10000,0.011349199980031699,0.012005143000278622,0.01326200005132705,N/A
p11_find_middle_element_linkedlist,prompt_1,3,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> Node:\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow']",100000,0.12322249996941537,0.13035882999538445,0.146388900000602,N/A
p11_find_middle_element_linkedlist,prompt_1,4,['def funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val'],1000,0.0010647000162862241,0.0011461789981694892,0.0012552000116556883,N/A
p11_find_middle_element_linkedlist,prompt_1,4,['def funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val'],10000,0.011648999992758036,0.012162149997893721,0.012908699980471283,N/A
p11_find_middle_element_linkedlist,prompt_1,4,['def funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val'],100000,0.11931799998274073,0.12927301000338048,0.14561990002403036,N/A
p11_find_middle_element_linkedlist,prompt_1,5,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> int:\n    slow = fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",1000,0.0010633000056259334,0.001131814001710154,0.0011966999736614525,N/A
p11_find_middle_element_linkedlist,prompt_1,5,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> int:\n    slow = fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",10000,0.011691200023051351,0.012398969995556399,0.013542699976824224,N/A
p11_find_middle_element_linkedlist,prompt_1,5,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> int:\n    slow = fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",100000,0.12471570004709065,0.13195760000206064,0.14489160000812262,N/A
p11_find_middle_element_linkedlist,prompt_1,6,"['class Node:\n\n    def __init__(self, val=None, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",1000,0.0010631000041030347,0.0011633589986013249,0.0013771000085398555,N/A
p11_find_middle_element_linkedlist,prompt_1,6,"['class Node:\n\n    def __init__(self, val=None, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",10000,0.011615300027187914,0.012218995995935985,0.01284999999916181,N/A
p11_find_middle_element_linkedlist,prompt_1,6,"['class Node:\n\n    def __init__(self, val=None, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",100000,0.1221219000290148,0.13281602599832695,0.14285589999053627,N/A
p11_find_middle_element_linkedlist,prompt_1,7,"['class Node:\n\n    def __init__(self, val=None):\n        self.val = val\n        self.next = None\n\ndef funcImp(head):\n    slow_ptr = head\n    fast_ptr = head\n    while fast_ptr is not None and fast_ptr.next is not None:\n        slow_ptr = slow_ptr.next\n        fast_ptr = fast_ptr.next.next\n    return slow_ptr.val']",1000,0.0009639000054448843,0.001051452003302984,0.0011274000280536711,N/A
p11_find_middle_element_linkedlist,prompt_1,7,"['class Node:\n\n    def __init__(self, val=None):\n        self.val = val\n        self.next = None\n\ndef funcImp(head):\n    slow_ptr = head\n    fast_ptr = head\n    while fast_ptr is not None and fast_ptr.next is not None:\n        slow_ptr = slow_ptr.next\n        fast_ptr = fast_ptr.next.next\n    return slow_ptr.val']",10000,0.010488900006748736,0.010944854998961091,0.011791199969593436,N/A
p11_find_middle_element_linkedlist,prompt_1,7,"['class Node:\n\n    def __init__(self, val=None):\n        self.val = val\n        self.next = None\n\ndef funcImp(head):\n    slow_ptr = head\n    fast_ptr = head\n    while fast_ptr is not None and fast_ptr.next is not None:\n        slow_ptr = slow_ptr.next\n        fast_ptr = fast_ptr.next.next\n    return slow_ptr.val']",100000,0.11488889995962381,0.124998428003164,0.137118200014811,N/A
p11_find_middle_element_linkedlist,prompt_1,8,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> int:\n    slow = fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",1000,0.0009744000271894038,0.0011582399951294065,0.0015435999957844615,N/A
p11_find_middle_element_linkedlist,prompt_1,8,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> int:\n    slow = fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",10000,0.010979799961205572,0.011669749997672625,0.012852700019720942,N/A
p11_find_middle_element_linkedlist,prompt_1,8,"['class Node:\n\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\ndef funcImp(head: Node) -> int:\n    slow = fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",100000,0.12535049999132752,0.13461912899801973,0.17419569997582585,N/A
p11_find_middle_element_linkedlist,prompt_1,9,"['class Node:\n\n    def __init__(self, val):\n        self.val = val\n        self.next = None\n\ndef funcImp(head):\n    slow = fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",1000,0.001063500007148832,0.00114890199736692,0.0016818000003695488,N/A
p11_find_middle_element_linkedlist,prompt_1,9,"['class Node:\n\n    def __init__(self, val):\n        self.val = val\n        self.next = None\n\ndef funcImp(head):\n    slow = fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",10000,0.011110199964605272,0.011875055003911257,0.01259370002662763,N/A
p11_find_middle_element_linkedlist,prompt_1,9,"['class Node:\n\n    def __init__(self, val):\n        self.val = val\n        self.next = None\n\ndef funcImp(head):\n    slow = fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val']",100000,0.1237103000166826,0.1330924480018439,0.1500438000075519,N/A
p11_find_middle_element_linkedlist,prompt_1,10,['def funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val'],1000,0.0011000999948009849,0.0011867949966108426,0.001278800016734749,N/A
p11_find_middle_element_linkedlist,prompt_1,10,['def funcImp(head):\n    slow = head\n    fast = head\n    while fast and fast.next:\n        slow = slow.next\n        fast = fast.next.next\n    return slow.val'],10000,0.01127070002257824,0.011837689999956637,0.012702099978923798,N/A
